Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"LRP2","LDL Receptor Related Protein 2","Protein Coding","P98164","61","GC02M169127","4.09867429733276","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRP2"
"RRAGC","Ras Related GTP Binding C","Protein Coding","Q9HB90","53","GC01M039017","4.09200000762939","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RRAGC"
"IKZF1","IKAROS Family Zinc Finger 1","Protein Coding","Q13422","61","GC07P050303","4.06778717041016","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IKZF1"
"C5","Complement C5","Protein Coding","P01031","59","GC09M120933","4.06640005111694","https://www.genecards.org/cgi-bin/carddisp.pl?gene=C5"
"BCAT2","Branched Chain Amino Acid Transaminase 2","Protein Coding","O15382","57","GC19M048795","4.05336284637451","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCAT2"
"AGXT","Alanine--Glyoxylate Aminotransferase","Protein Coding","P21549","58","GC02P240868","4.04563665390015","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGXT"
"SC5D","Sterol-C5-Desaturase","Protein Coding","O75845","52","GC11P121292","4.03861141204834","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SC5D"
"CARS2","Cysteinyl-TRNA Synthetase 2, Mitochondrial","Protein Coding","Q9HA77","52","GC13M110641","4.03749370574951","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CARS2"
"GRIN2C","Glutamate Ionotropic Receptor NMDA Type Subunit 2C","Protein Coding","Q14957","57","GC17M074842","4.02659845352173","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRIN2C"
"NCF2","Neutrophil Cytosolic Factor 2","Protein Coding","P19878","60","GC01M186360","4.01806259155273","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NCF2"
"CEP89","Centrosomal Protein 89","Protein Coding","Q96ST8","47","GC19M100849","4.00628995895386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CEP89"
"ABCG2","ATP Binding Cassette Subfamily G Member 2 (JR Blood Group)","Protein Coding","Q9UNQ0","62","GC04M088090","4.00300359725952","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCG2"
"NANS","N-Acetylneuraminate Synthase","Protein Coding","Q9NR45","54","GC09P098056","4.00287866592407","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NANS"
"CHM","CHM Rab Escort Protein","Protein Coding","P24386","53","GC0XM085861","4.00149345397949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHM"
"CYP2B6","Cytochrome P450 Family 2 Subfamily B Member 6","Protein Coding","P20813","58","GC19P040991","3.99438714981079","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP2B6"
"YBX1","Y-Box Binding Protein 1","Protein Coding","P67809","53","GC01P042682","3.9891529083252","https://www.genecards.org/cgi-bin/carddisp.pl?gene=YBX1"
"HIBCH","3-Hydroxyisobutyryl-CoA Hydrolase","Protein Coding","Q6NVY1","54","GC02M190189","3.98461580276489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIBCH"
"LINC00472","Long Intergenic Non-Protein Coding RNA 472","RNA Gene","Q9H8W2","36","GC06M101795","3.95692729949951","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC00472"
"VTN","Vitronectin","Protein Coding","P04004","56","GC17M088839","3.94980263710022","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VTN"
"PADI3","Peptidyl Arginine Deiminase 3","Protein Coding","Q9ULW8","51","GC01P017249","3.94909715652466","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PADI3"
"TGM7","Transglutaminase 7","Protein Coding","Q96PF1","41","GC15M043276","3.9391074180603","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGM7"
"KITLG","KIT Ligand","Protein Coding","P21583","60","GC12M088492","3.93489718437195","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KITLG"
"TCF3","Transcription Factor 3","Protein Coding","P15923","59","GC19M001609","3.92482662200928","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TCF3"
"AKR1D1","Aldo-Keto Reductase Family 1 Member D1","Protein Coding","P51857","55","GC07P139259","3.91771173477173","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKR1D1"
"APOBEC3D","Apolipoprotein B MRNA Editing Enzyme Catalytic Subunit 3D","Protein Coding","Q96AK3","40","GC22P039021","3.90363669395447","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOBEC3D"
"APOBEC3H","Apolipoprotein B MRNA Editing Enzyme Catalytic Subunit 3H","Protein Coding","Q6NTF7","40","GC22P039097","3.90363669395447","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOBEC3H"
"RAB4B-EGLN2","RAB4B-EGLN2 Readthrough (NMD Candidate)","RNA Gene","","20","GC19P040778","3.90249466896057","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAB4B-EGLN2"
"CHKB-CPT1B","CHKB-CPT1B Readthrough (NMD Candidate)","RNA Gene","","25","GC22M050568","3.9010910987854","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHKB-CPT1B"
"PRDX2","Peroxiredoxin 2","Protein Coding","P32119","59","GC19M012796","3.87440776824951","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRDX2"
"GCG","Glucagon","Protein Coding","P01275","54","GC02M162142","3.86190104484558","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GCG"
"ACTG1","Actin Gamma 1","Protein Coding","P63261","60","GC17M081509","3.86120295524597","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACTG1"
"CYP2E1","Cytochrome P450 Family 2 Subfamily E Member 1","Protein Coding","P05181","58","GC10P133520","3.85366368293762","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP2E1"
"EIF2AK4","Eukaryotic Translation Initiation Factor 2 Alpha Kinase 4","Protein Coding","Q9P2K8","57","GC15P039934","3.85263442993164","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF2AK4"
"CFI","Complement Factor I","Protein Coding","P05156","59","GC04M109732","3.85068464279175","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CFI"
"NLRP12","NLR Family Pyrin Domain Containing 12","Protein Coding","P59046","55","GC19M053793","3.83734655380249","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NLRP12"
"NPHP1","Nephrocystin 1","Protein Coding","O15259","55","GC02M110122","3.83509707450867","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPHP1"
"HSP90AB1","Heat Shock Protein 90 Alpha Family Class B Member 1","Protein Coding","P08238","62","GC06P044246","3.82120895385742","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSP90AB1"
"MTTP","Microsomal Triglyceride Transfer Protein","Protein Coding","P55157","57","GC04P099563","3.81157231330872","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTTP"
"LMBRD1","LMBR1 Domain Containing 1","Protein Coding","Q9NUN5","52","GC06M100802","3.804682970047","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LMBRD1"
"PWAR1","Prader Willi/Angelman Region RNA 1","RNA Gene","","23","GC15P025135","3.8014988899231","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PWAR1"
"MAP3K15","Mitogen-Activated Protein Kinase Kinase Kinase 15","Protein Coding","Q6ZN16","47","GC0XM019360","3.79825258255005","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP3K15"
"RBX1","Ring-Box 1","Protein Coding","P62877","56","GC22P040951","3.7896990776062","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBX1"
"VCAM1","Vascular Cell Adhesion Molecule 1","Protein Coding","P19320","58","GC01P100719","3.78749513626099","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VCAM1"
"RPSA","Ribosomal Protein SA","Protein Coding","P08865","59","GC03P039406","3.78403687477112","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPSA"
"SLC25A38","Solute Carrier Family 25 Member 38","Protein Coding","Q96DW6","49","GC03P041196","3.78194093704224","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A38"
"ENO2","Enolase 2","Protein Coding","P09104","60","GC12P006913","3.76468229293823","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENO2"
"ABCC2","ATP Binding Cassette Subfamily C Member 2","Protein Coding","Q92887","61","GC10P099782","3.75989675521851","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCC2"
"CUBN","Cubilin","Protein Coding","O60494","58","GC10M016824","3.7568039894104","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CUBN"
"PRKCB","Protein Kinase C Beta","Protein Coding","P05771","62","GC16P104638","3.73849940299988","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKCB"
"H6PD","Hexose-6-Phosphate Dehydrogenase/Glucose 1-Dehydrogenase","Protein Coding","O95479","55","GC01P009234","3.72572803497314","https://www.genecards.org/cgi-bin/carddisp.pl?gene=H6PD"
"CD79A","CD79a Molecule","Protein Coding","P11912","61","GC19P041877","3.71181988716125","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD79A"
"MSTO1","Misato Mitochondrial Distribution And Morphology Regulator 1","Protein Coding","Q9BUK6","51","GC01P170498","3.71056318283081","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSTO1"
"PNPLA6","Patatin Like Phospholipase Domain Containing 6","Protein Coding","Q8IY17","56","GC19P007534","3.70789813995361","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PNPLA6"
"SNRPB","Small Nuclear Ribonucleoprotein Polypeptides B And B1","Protein Coding","P14678","54","GC20M002461","3.69678974151611","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNRPB"
"ATP5MK","ATP Synthase Membrane Subunit K","Protein Coding","Q96IX5","46","GC10M103397","3.69440269470215","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP5MK"
"ARHGDIA","Rho GDP Dissociation Inhibitor Alpha","Protein Coding","P52565","59","GC17M081867","3.69264721870422","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARHGDIA"
"SLC25A2","Solute Carrier Family 25 Member 2","Protein Coding","Q9BXI2","43","GC05M141302","3.69122457504272","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A2"
"TACO1","Translational Activator Of Cytochrome C Oxidase I","Protein Coding","Q9BSH4","52","GC17P063600","3.67902541160583","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TACO1"
"TPM2","Tropomyosin 2","Protein Coding","P07951","59","GC09M035672","3.67390608787537","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TPM2"
"AQP1","Aquaporin 1 (Colton Blood Group)","Protein Coding","P29972","60","GC07P030911","3.67296576499939","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AQP1"
"CERKL","Ceramide Kinase Like","Protein Coding","Q49MI3","50","GC02M181536","3.65995955467224","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CERKL"
"HNRNPA2B1","Heterogeneous Nuclear Ribonucleoprotein A2/B1","Protein Coding","P22626","59","GC07M026174","3.65813302993774","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNRNPA2B1"
"CYP1A2","Cytochrome P450 Family 1 Subfamily A Member 2","Protein Coding","P05177","58","GC15P074748","3.65479779243469","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP1A2"
"NOX4","NADPH Oxidase 4","Protein Coding","Q9NPH5","55","GC11M089324","3.65441727638245","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOX4"
"USH2A","Usherin","Protein Coding","O75445","50","GC01M215622","3.64830708503723","https://www.genecards.org/cgi-bin/carddisp.pl?gene=USH2A"
"S100A8","S100 Calcium Binding Protein A8","Protein Coding","P05109","54","GC01M165010","3.63959074020386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100A8"
"ACP1","Acid Phosphatase 1","Protein Coding","P24666","55","GC02P001030","3.63001894950867","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACP1"
"HPD","4-Hydroxyphenylpyruvate Dioxygenase","Protein Coding","P32754","58","GC12M121839","3.62989377975464","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HPD"
"FN1","Fibronectin 1","Protein Coding","P02751","63","GC02M215360","3.62921953201294","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FN1"
"SIRT3","Sirtuin 3","Protein Coding","Q9NTG7","60","GC11M000215","3.62416338920593","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SIRT3"
"SLC1A4","Solute Carrier Family 1 Member 4","Protein Coding","P43007","56","GC02P064988","3.6217200756073","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC1A4"
"ALDH2","Aldehyde Dehydrogenase 2 Family Member","Protein Coding","P05091","63","GC12P111766","3.61705541610718","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALDH2"
"SYNJ1","Synaptojanin 1","Protein Coding","O43426","57","GC21M032628","3.61676502227783","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SYNJ1"
"SLC7A6","Solute Carrier Family 7 Member 6","Protein Coding","Q92536","51","GC16P105924","3.60452151298523","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC7A6"
"PRDX6","Peroxiredoxin 6","Protein Coding","P30041","59","GC01P173477","3.60186386108398","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRDX6"
"DPAGT1","Dolichyl-Phosphate N-Acetylglucosaminephosphotransferase 1","Protein Coding","Q9H3H5","56","GC11M133879","3.60128712654114","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DPAGT1"
"PDHX","Pyruvate Dehydrogenase Complex Component X","Protein Coding","O00330","59","GC11P034894","3.59312319755554","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDHX"
"SLC6A6","Solute Carrier Family 6 Member 6","Protein Coding","P31641","57","GC03P014402","3.59169578552246","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC6A6"
"CAMP","Cathelicidin Antimicrobial Peptide","Protein Coding","P49913","53","GC03P061472","3.58360409736633","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAMP"
"AASS","Aminoadipate-Semialdehyde Synthase","Protein Coding","Q9UDR5","54","GC07M122073","3.57728719711304","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AASS"
"THNSL2","Threonine Synthase Like 2","Protein Coding","Q86YJ6","39","GC02P088170","3.5676167011261","https://www.genecards.org/cgi-bin/carddisp.pl?gene=THNSL2"
"NDUFAF1","NADH:Ubiquinone Oxidoreductase Complex Assembly Factor 1","Protein Coding","Q9Y375","53","GC15M041387","3.56348752975464","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFAF1"
"GALE","UDP-Galactose-4-Epimerase","Protein Coding","Q14376","55","GC01M023795","3.55895161628723","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GALE"
"DBH","Dopamine Beta-Hydroxylase","Protein Coding","P09172","64","GC09P133636","3.54560160636902","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DBH"
"TMEM67","Transmembrane Protein 67","Protein Coding","Q5HYA8","52","GC08P093754","3.54250144958496","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMEM67"
"APPL1","Adaptor Protein, Phosphotyrosine Interacting With PH Domain And Leucine Zipper 1","Protein Coding","Q9UKG1","57","GC03P057227","3.53602504730225","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APPL1"
"OXCT1","3-Oxoacid CoA-Transferase 1","Protein Coding","P55809","58","GC05M041732","3.52807641029358","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OXCT1"
"RAB8A","RAB8A, Member RAS Oncogene Family","Protein Coding","P61006","52","GC19P016111","3.51679277420044","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAB8A"
"SORT1","Sortilin 1","Protein Coding","Q99523","58","GC01M109310","3.51066398620605","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SORT1"
"KLK3","Kallikrein Related Peptidase 3","Protein Coding","P07288","59","GC19P050854","3.4994113445282","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLK3"
"SNORD15A","Small Nucleolar RNA, C/D Box 15A","RNA Gene","","25","GC11P075400","3.49823141098022","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNORD15A"
"MAK","Male Germ Cell Associated Kinase","Protein Coding","P20794","55","GC06M010762","3.49483919143677","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAK"
"STX11","Syntaxin 11","Protein Coding","O75558","53","GC06P163498","3.48653602600098","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STX11"
"COLQ","Collagen Like Tail Subunit Of Asymmetric Acetylcholinesterase","Protein Coding","Q9Y215","51","GC03M027432","3.48161315917969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COLQ"
"CNGB3","Cyclic Nucleotide Gated Channel Subunit Beta 3","Protein Coding","Q9NQW8","52","GC08M086553","3.47868084907532","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CNGB3"
"SKP1","S-Phase Kinase Associated Protein 1","Protein Coding","P63208","56","GC05M134148","3.47736763954163","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SKP1"
"P4HB","Prolyl 4-Hydroxylase Subunit Beta","Protein Coding","P07237","62","GC17M081843","3.47603750228882","https://www.genecards.org/cgi-bin/carddisp.pl?gene=P4HB"
"OGG1","8-Oxoguanine DNA Glycosylase","Protein Coding","O15527","59","GC03P024175","3.47428798675537","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OGG1"
"DLEU2","Deleted In Lymphocytic Leukemia 2","RNA Gene","","31","GC13M049913","3.47322416305542","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DLEU2"
"PVALB","Parvalbumin","Protein Coding","P20472","52","GC22M036800","3.46732711791992","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PVALB"
"RNY5","RNA, Ro60-Associated Y5","RNA Gene","","17","GC07P148941","3.45593595504761","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNY5"
"TMEM126B","Transmembrane Protein 126B","Protein Coding","Q8IUX1","50","GC11P085628","3.45278477668762","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMEM126B"
"DHFR","Dihydrofolate Reductase","Protein Coding","P00374","61","GC05M080626","3.44529604911804","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DHFR"
"TUBB","Tubulin Beta Class I","Protein Coding","P07437","62","GC06P156224","3.44207835197449","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUBB"
"DRD3","Dopamine Receptor D3","Protein Coding","P35462","56","GC03M114128","3.43910551071167","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DRD3"
"GFM2","GTP Dependent Ribosome Recycling Factor Mitochondrial 2","Protein Coding","Q969S9","52","GC05M074721","3.41281318664551","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GFM2"
"NCAM1","Neural Cell Adhesion Molecule 1","Protein Coding","P13591","61","GC11P112961","3.4084484577179","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NCAM1"
"PIKFYVE","Phosphoinositide Kinase, FYVE-Type Zinc Finger Containing","Protein Coding","Q9Y2I7","62","GC02P208266","3.40777826309204","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIKFYVE"
"ACAT1","Acetyl-CoA Acetyltransferase 1","Protein Coding","P24752","63","GC11P108121","3.40761685371399","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACAT1"
"RPGRIP1L","RPGRIP1 Like","Protein Coding","Q68CZ1","54","GC16M053759","3.40127658843994","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPGRIP1L"
"SEC61A1","SEC61 Translocon Subunit Alpha 1","Protein Coding","P61619","54","GC03P128051","3.39067411422729","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SEC61A1"
"SLC25A10","Solute Carrier Family 25 Member 10","Protein Coding","Q9UBX3","56","GC17P081712","3.38715791702271","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A10"
"MARS1","Methionyl-TRNA Synthetase 1","Protein Coding","P56192","58","GC12P065436","3.38551831245422","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MARS1"
"SLC5A1","Solute Carrier Family 5 Member 1","Protein Coding","P13866","59","GC22P032043","3.37650012969971","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC5A1"
"TUBA1B","Tubulin Alpha 1b","Protein Coding","P68363","57","GC12M049127","3.37111806869507","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUBA1B"
"PNKD","PNKD Metallo-Beta-Lactamase Domain Containing","Protein Coding","Q8N490","54","GC02P218270","3.36795353889465","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PNKD"
"SLC25A32","Solute Carrier Family 25 Member 32","Protein Coding","Q9H2D1","52","GC08M103398","3.36748075485229","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A32"
"NFS1","NFS1 Cysteine Desulfurase","Protein Coding","Q9Y697","57","GC20M035668","3.36642360687256","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFS1"
"LTF","Lactotransferrin","Protein Coding","P02788","58","GC03M046435","3.35580229759216","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LTF"
"GNB2","G Protein Subunit Beta 2","Protein Coding","P62879","56","GC07P100673","3.35387277603149","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNB2"
"ALG11","ALG11 Alpha-1,2-Mannosyltransferase","Protein Coding","Q2TAA5","52","GC13P052012","3.35103297233582","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALG11"
"MT-RNR1","Mitochondrially Encoded 12S RRNA","RNA Gene","A0A0C5B5G6","25","GCMTP000642","3.34977602958679","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-RNR1"
"INPP5D","Inositol Polyphosphate-5-Phosphatase D","Protein Coding","Q92835","58","GC02P233059","3.34851312637329","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INPP5D"
"PLPBP","Pyridoxal Phosphate Binding Protein","Protein Coding","O94903","51","GC08P040850","3.34445810317993","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLPBP"
"MTPAP","Mitochondrial Poly(A) Polymerase","Protein Coding","Q9NVV4","52","GC10M036341","3.33908939361572","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTPAP"
"ATP6V1B1","ATPase H+ Transporting V1 Subunit B1","Protein Coding","P15313","55","GC02P070935","3.33761477470398","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP6V1B1"
"SELE","Selectin E","Protein Coding","P16581","56","GC01M169722","3.33556175231934","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SELE"
"SFTPD","Surfactant Protein D","Protein Coding","P35247","56","GC10M079937","3.33554410934448","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SFTPD"
"NEFL","Neurofilament Light Chain","Protein Coding","P07196","58","GC08M024950","3.33505201339722","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NEFL"
"RDH12","Retinol Dehydrogenase 12","Protein Coding","Q96NR8","56","GC14P067701","3.33444857597351","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RDH12"
"ALDH4A1","Aldehyde Dehydrogenase 4 Family Member A1","Protein Coding","P30038","56","GC01M018871","3.33038759231567","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALDH4A1"
"PRDX3","Peroxiredoxin 3","Protein Coding","P30048","57","GC10M119167","3.32463216781616","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRDX3"
"CSNK1A1","Casein Kinase 1 Alpha 1","Protein Coding","P48729","61","GC05M149492","3.32386016845703","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSNK1A1"
"PPIA","Peptidylprolyl Isomerase A","Protein Coding","P62937","58","GC07P044839","3.32366943359375","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPIA"
"SLC7A5","Solute Carrier Family 7 Member 5","Protein Coding","Q01650","56","GC16M087830","3.32152223587036","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC7A5"
"SLC18A2","Solute Carrier Family 18 Member A2","Protein Coding","Q05940","59","GC10P117241","3.31142711639404","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC18A2"
"PPP2CA","Protein Phosphatase 2 Catalytic Subunit Alpha","Protein Coding","P67775","63","GC05M134194","3.31059908866882","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP2CA"
"PRL","Prolactin","Protein Coding","P01236","56","GC06M022287","3.30644702911377","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRL"
"UGT1A4","UDP Glucuronosyltransferase Family 1 Member A4","Protein Coding","P22310","55","GC02P233718","3.28704500198364","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UGT1A4"
"CNP","2',3'-Cyclic Nucleotide 3' Phosphodiesterase","Protein Coding","P09543","56","GC17P041966","3.27768850326538","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CNP"
"SLC52A1","Solute Carrier Family 52 Member 1","Protein Coding","Q9NWF4","51","GC17M005032","3.27496457099915","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC52A1"
"PYGL","Glycogen Phosphorylase L","Protein Coding","P06737","58","GC14M050857","3.26651930809021","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PYGL"
"USP53","Ubiquitin Specific Peptidase 53","Protein Coding","Q70EK8","49","GC04P119212","3.26568937301636","https://www.genecards.org/cgi-bin/carddisp.pl?gene=USP53"
"CR1","Complement C3b/C4b Receptor 1 (Knops Blood Group)","Protein Coding","P17927","57","GC01P207496","3.26296782493591","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CR1"
"ATP5F1B","ATP Synthase F1 Subunit Beta","Protein Coding","P06576","58","GC12M059859","3.25968551635742","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP5F1B"
"MT-TW","Mitochondrially Encoded TRNA-Trp (UGA/G)","RNA Gene","","22","GCMTP005514","3.25471448898315","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-TW"
"HAAO","3-Hydroxyanthranilate 3,4-Dioxygenase","Protein Coding","P46952","56","GC02M042767","3.25303792953491","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HAAO"
"COX6A1","Cytochrome C Oxidase Subunit 6A1","Protein Coding","P12074","55","GC12P120459","3.24667024612427","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COX6A1"
"CNR1","Cannabinoid Receptor 1","Protein Coding","P21554","59","GC06M088139","3.24362635612488","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CNR1"
"ELOVL5","ELOVL Fatty Acid Elongase 5","Protein Coding","Q9NYP7","55","GC06M053267","3.23935079574585","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ELOVL5"
"SLC25A11","Solute Carrier Family 25 Member 11","Protein Coding","Q02978","54","GC17M004937","3.23105621337891","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A11"
"MEG8","Maternally Expressed 8, Small Nucleolar RNA Host Gene","RNA Gene","","28","GC14P119043","3.23086047172546","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MEG8"
"SLC6A19","Solute Carrier Family 6 Member 19","Protein Coding","Q695T7","55","GC05P001201","3.22817373275757","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC6A19"
"PCK2","Phosphoenolpyruvate Carboxykinase 2, Mitochondrial","Protein Coding","Q16822","58","GC14P024094","3.22751903533936","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCK2"
"TMLHE","Trimethyllysine Hydroxylase, Epsilon","Protein Coding","Q9NVH6","53","GC0XM155489","3.215975522995","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMLHE"
"NARS2","Asparaginyl-TRNA Synthetase 2, Mitochondrial","Protein Coding","Q96I59","55","GC11M078435","3.21548986434937","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NARS2"
