Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"AGMAT","Agmatinase (Putative)","Protein Coding","Q9BSE5","48","GC01M015571","1.49299550056458","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGMAT"
"AMD1","Adenosylmethionine Decarboxylase 1","Protein Coding","P17707","52","GC06P110814","1.48327922821045","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AMD1"
"UNC80","Unc-80 Homolog, NALCN Channel Complex Subunit","Protein Coding","Q8N2C7","45","GC02P209771","1.47977566719055","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UNC80"
"TMEM11","Transmembrane Protein 11","Protein Coding","P17152","48","GC17M021197","1.47360944747925","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMEM11"
"IKZF3","IKAROS Family Zinc Finger 3","Protein Coding","Q9UKT9","54","GC17M089263","1.46844089031219","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IKZF3"
"SNRPD1","Small Nuclear Ribonucleoprotein D1 Polypeptide","Protein Coding","P62314","51","GC18P021612","1.45534634590149","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNRPD1"
"ACAD10","Acyl-CoA Dehydrogenase Family Member 10","Protein Coding","Q6JQN1","47","GC12P111686","1.43700909614563","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACAD10"
"SLC6A2","Solute Carrier Family 6 Member 2","Protein Coding","P23975","59","GC16P105545","1.43522715568542","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC6A2"
"TUBB2A","Tubulin Beta 2A Class IIa","Protein Coding","Q13885","59","GC06M003153","1.43160760402679","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUBB2A"
"EIF3E","Eukaryotic Translation Initiation Factor 3 Subunit E","Protein Coding","P60228","51","GC08M108163","1.42484676837921","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF3E"
"NPLOC4","NPL4 Homolog, Ubiquitin Recognition Factor","Protein Coding","Q8TAT6","51","GC17M081556","1.42403435707092","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPLOC4"
"LOC112577596","Sharpr-MPRA Regulatory Region 3933","Functional Element","","5","GC01P061914","1.42186808586121","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC112577596"
"SLC25A52","Solute Carrier Family 25 Member 52","Protein Coding","Q3SY17","38","GC18M031759","1.41016983985901","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A52"
"LINC-PINT","Long Intergenic Non-Protein Coding RNA, P53 Induced Transcript","RNA Gene","A0A455ZAR2","25","GC07M130795","1.40874624252319","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC-PINT"
"ATF1","Activating Transcription Factor 1","Protein Coding","P18846","58","GC12P050763","1.40493321418762","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATF1"
"CRBN","Cereblon","Protein Coding","Q96SW2","58","GC03M003144","1.40062737464905","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRBN"
"PPCDC","Phosphopantothenoylcysteine Decarboxylase","Protein Coding","Q96CD2","52","GC15P075023","1.39720845222473","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPCDC"
"ACAD11","Acyl-CoA Dehydrogenase Family Member 11","Protein Coding","Q709F0","45","GC03M132559","1.39720845222473","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACAD11"
"SLC26A9","Solute Carrier Family 26 Member 9","Protein Coding","Q7LBE3","49","GC01M205883","1.39250683784485","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC26A9"
"DDAH1","Dimethylarginine Dimethylaminohydrolase 1","Protein Coding","O94760","54","GC01M085318","1.38116502761841","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDAH1"
"PHETA1","PH Domain Containing Endocytic Trafficking Adaptor 1","Protein Coding","Q8N4B1","43","GC12M111901","1.37215685844421","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PHETA1"
"MSTN","Myostatin","Protein Coding","O14793","59","GC02M190055","1.37114834785461","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSTN"
"PRDM13","PR/SET Domain 13","Protein Coding","Q9H4Q3","46","GC06P099606","1.3692170381546","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRDM13"
"HSD11B1","Hydroxysteroid 11-Beta Dehydrogenase 1","Protein Coding","P28845","63","GC01P209686","1.36563503742218","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSD11B1"
"GHRH","Growth Hormone Releasing Hormone","Protein Coding","P01286","50","GC20M037251","1.35952413082123","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GHRH"
"ATF5","Activating Transcription Factor 5","Protein Coding","Q9Y2D1","50","GC19P133445","1.35665082931519","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATF5"
